filename,lesson_num,sentence_num,text,level,difficulty,chars,words
f01.txt,1.0,0.0,Їжачок Буль із раннього дитинства мріяв про шко лу.,1,0.3333333333333333,51.0,9.0
f01.txt,1.0,1.0,"Багато його друзів уже ходили туди Часто вони розповідали веселі історії, що траплялися з ними під час занять Школа здавалася Булю радісною за хопливою пригодою Йому хотілося якомога швидше стати учнем І ось такий день настав Буль був на сьомому небі від щастя.",1,0.3333333333333333,261.0,43.0
f01.txt,1.0,2.0,"Уранці він поспішив до школи Тут усе для нього було новим і незвичним,але Буль зовсім не боявся Він був в очікуванні цікавих пригод і веселих історій Але,зайшовши в клас,він побачив зовсім незнайомих звіряток,які спокійно сиділи за партами Їжачок трішки захвилювався,однак чекав,що до класу зайде вчителька і почнуться веселощі.",1,0.3333333333333333,328.0,48.0
f01.txt,1.0,3.0,"Яким же було його здивування,коли вчителька замість смішних історій почала пояснювати,як у шко лі потрібно поводитися Учні повинні уважно слухати, вчитися читати,писати,лічити і малювати.",1,0.3333333333333333,187.0,24.0
f01.txt,1.0,4.0,"Це не дуже сподобалося Булю А коли всі зві рята почали виконувати завдання,то він і зовсім розгубився У маленького їжачка погано виходило, і він дуже боявся,що вчителька буде його сварити Крім того,Буль не до кінця зрозумів завдання, а перепитати соромився.",1,0.3333333333333333,257.0,40.0
f01.txt,1.0,5.0,"Після уроків їжачок повертався додому засмученим і наляканим Школа виявилася зовсім не такою, як уявлялося За вечерею він майже не розмовляв і дуже рано пішов спати.",1,0.3333333333333333,165.0,26.0
f01.txt,2.0,0.0,Уранці Буль прокинувся у сльозах.,1,0.3333333333333333,33.0,5.0
f01.txt,2.0,1.0,"— Я не хочу йти до школи — плакав їжачок,дивуючи маму.",1,0.3333333333333333,54.0,11.0
f01.txt,2.0,3.0,Хіба тобі не цікаво отримувати нові знання і знайомитися з новими друзями?,1,0.3333333333333333,74.0,12.0
f01.txt,2.0,4.0,"— Ні,там зовсім не цікаво,а страшно Я хочу залишатися вдома,гратися і читати веселі розповіді для дітей про школу.",1,0.3333333333333333,114.0,18.0
f01.txt,2.0,5.0,"На цих словах їжачок запнувся Адже справді,та кі історії були його улюбленими Він так мріяв про школу,а тепер боїться її Малюк устромився носом у подушку і заплакав Але його мама все зрозуміла їжачок боявся не школи,а нового способу життя.",1,0.3333333333333333,239.0,39.0
f01.txt,2.0,6.0,"— Любий,не потрібно плакати Боятися нового і невідомого цілком природно Навіть дорослі почува ються ніяково,потрапляючи в незвичні,нові умови.",1,0.3333333333333333,142.0,18.0
f01.txt,2.0,7.0,"Почувши це,Буль трохи заспокоївся — Мене не будуть сварити за те,що у мене не все виходить?",1,0.3333333333333333,91.0,16.0
f01.txt,2.0,8.0,"— Звичайно,ні Помилятися може кожен Для цього ти й пішов до школи,щоб учитися Не бійся запитувати про все,що тобі не зрозуміло,і в тебе обовязково все вийде — А якщо я принесу погану оцінку,ти не переста неш мене любити?",1,0.3333333333333333,220.0,38.0
f01.txt,2.0,9.0,"— Звісно,що ні Адже ми з татом любимо тебе не за якісь заслуги,а просто за те,що ти наш синок До того ж візьми до уваги,що головне у школі — не оцінки,а нові знання та досвід А ще там ти змо жеш знайти нових друзів Буль дуже зрадів розмові з мамою,знову за хотів іти до школи,але про всяк випадок вирішив уточнити — А бігати і стрибати зовсімзовсім не можна,так?",1,0.3333333333333333,362.0,68.0
f01.txt,2.0,10.0,"Мама усміхнулася — Можна,але тільки на перервах А на заняттях потрібно бути уважним,щоб не проґавити нічого цікавого.",1,0.3333333333333333,117.0,17.0
f01.txt,3.0,0.0,"Хтось завжди у чомусь кращий швидший хтось, чи більш відважний.",1,0.3333333333333333,63.0,10.0
f01.txt,3.0,1.0,"Хтось сильніший, розумніший, справедливіший, добріший!",1,0.3333333333333333,54.0,5.0
f01.txt,3.0,2.0,"Хтось зліпити може птаха, хтось найкращий в боротьбі.",1,0.3333333333333333,53.0,8.0
f01.txt,3.0,3.0,"В когось здібності до шахів, хтось футбол обрав собі.",1,0.3333333333333333,53.0,9.0
f01.txt,3.0,4.0,"Хтось на сцені гарно грає, хтось компютер добре знає, хтось малює, хтось танцює, вишиває чи співає.",1,0.3333333333333333,99.0,16.0
f01.txt,3.0,5.0,"Хтось писатиме романи, а хтось буде — музикант!",1,0.3333333333333333,47.0,8.0
f01.txt,4.0,0.0,ЯкЩО ВЧитиСЯ ВАжкО Навчання у школі має велике значення.,1,0.3333333333333333,56.0,9.0
f01.txt,4.0,2.0,"Але завжди, коли я старанно виконую завдання, мене у школі хвалять.",1,0.3333333333333333,67.0,11.0
f01.txt,4.0,3.0,Це найкраще почуття у світі!,1,0.3333333333333333,28.0,5.0
f01.txt,4.0,4.0,"Що тобі подобається найбільше у школі, крім перерви?",1,0.3333333333333333,52.0,8.0
f01.txt,4.0,5.0,Мені подобається дізнаватися про вулкани чи динозаврів.,1,0.3333333333333333,55.0,7.0
f01.txt,4.0,6.0,Або навчатися грати на різних музичних інструментах.,1,0.3333333333333333,52.0,7.0
f01.txt,4.0,7.0,"Наприклад, на флейті або трубі.",1,0.3333333333333333,31.0,5.0
f01.txt,4.0,9.0,"Чи бувало в тебе таке, що ти щосили намагаєшся щось зрозуміти, але все одно нічого не виходить?",1,0.3333333333333333,95.0,17.0
f01.txt,4.0,10.0,"Коли це трапляється зі мною, я дуже засмучуюся і хочу все кинути.",1,0.3333333333333333,65.0,12.0
f01.txt,4.0,11.0,Минулого тижня вчителька показувала класу новий спосіб виконання дії додавання.,1,0.3333333333333333,79.0,10.0
f01.txt,4.0,12.0,"Як я не намагався, ніяк не міг його зрозуміти.",1,0.3333333333333333,46.0,9.0
f01.txt,4.0,14.0,Хотілося припинити всі зусилля.,1,0.3333333333333333,31.0,4.0
f01.txt,4.0,15.0,А вчителька це помітила і запропонувала мені допомогу.,1,0.3333333333333333,54.0,8.0
f01.txt,4.0,17.0,"Уявляєш, цей час у школі я провів із задоволенням!",1,0.3333333333333333,50.0,9.0
f01.txt,4.0,18.0,Учителька показала мені багато прикладів.,1,0.3333333333333333,41.0,5.0
